id,name,emoji,category,grow_days,base_price,taste,looks,size,aroma,flavor_text
basic_apple,ホシリンゴ,🍎,basic,3,30,20,10,15,5,素朴な味わいの宇宙リンゴ。どんな土壌でも安定して育つ。
basic_mikan,コスモミカン,🍊,basic,3,35,25,15,10,10,オレンジに光る定番果実。兎型害獣の好物でもある。
basic_banana,透明バナナ,🍌,basic,4,40,15,30,20,5,皮が透き通った不思議なバナナ。囮にすると害獣がよく寄ってくる。
basic_strawberry,宇宙イチゴ,🍓,basic,2,20,10,5,5,5,成長が最速。金策の味方。味は…まあ。
basic_blueberry,水晶ブルーベリー,🫐,basic,3,45,10,20,5,40,キラキラ光るベリー。香りが良い。
basic_pine,ロウソクパイン,🍍,basic,4,50,30,10,25,10,先端が炎のように光るパイナップル。
basic_cherry,流星チェリー,🍒,basic,2,25,15,10,10,15,流れ星のように素早く育つ。
basic_peach,ネビュラモモ,🍑,basic,3,30,10,25,10,10,星雲模様の果皮を持つ桃。デザートの定番。
breed_mango,マンゴーニアン,🥭,breed,5,80,30,25,20,15,真っ赤な宇宙マンゴー。交配の可能性を秘めている。
breed_melon,プリズムメロン,🍈,breed,7,120,35,30,30,25,光を屈折させる高級メロン。じっくり育てる価値がある。
breed_watermelon,火星スイカ,🍉,breed,6,90,25,20,35,10,ゴツゴツした火星育ちのスイカ。サイズが伸びやすい。
breed_grape,星グレープ,🍇,breed,5,100,40,20,15,20,星のように輝く不思議な葡萄。味に定評あり。
breed_kiwi,星キウイ,🥝,breed,4,70,20,35,20,15,星型に輝くキウイ。見た目の良さが光る。
breed_lemon,トゲレモン,🍋,breed,5,85,15,10,15,45,強烈な酸味と香りを放つ宇宙レモン。一部の害獣が嫌がる。
rare_tropical,トロピカルノヴァ,⭐,rare,6,200,50,45,35,30,星の光を凝縮したような果実。全属性が高い。
rare_moondrop,ムーンドロップ,💧,rare,6,220,55,40,25,45,月の雫のように淡く光る実。味と香りが際立つ。
rare_dragon,ドラゴンフルーツ,🔥,rare,7,250,35,30,55,40,炎のように燃える外殻。サイズと香りが優秀。
rare_nectar,コスモネクター,🍯,rare,5,180,60,35,20,30,自然に蜜が滴る不思議な果実。味が突出。
rare_asteroid,アステロイドベリー,☄️,rare,8,280,40,35,60,25,小惑星のような硬い外殻。サイズが圧倒的。
rare_phantom,ファントムグレープ,👻,rare,6,200,30,55,25,50,半透明の幻の葡萄。見た目と香りが幻想的。
legend_king,コズミックキング,👑,legend,10,500,70,65,60,55,伝説の果実。宇宙そのものの輝きを持つ。
legend_void,ヴォイドフルーツ,🕳️,legend,10,500,55,70,50,70,虚空から実った果実。誰も味わったことのない宇宙の果ての味。
legend_yuzu,クレセントユズ,🌙,superlegend,14,1000,80,80,80,80,三日月の光を宿した究極の柚子。全てを超越した果樹園の到達点。
